H2C time (us),H2C request,H2C counter,H2C motionstatecommand,H2C surge P,H2C surge V,H2C surge A,H2C sway P,H2C sway V,H2C sway A,H2C heave P,H2C heave V,H2C heave A,H2C roll P,H2C roll V,H2C roll A,H2C pitch P,H2C pitch V,H2C pitch A ,H2C yaw P,H2C yaw V,H2C yaw A,C2H time (us),C2H c request,C2H counter,C2H motionstatecommand,C2H surge P,C2H sway P,C2H heave P,C2H roll P,C2H pitch P,C2H yaw P,C2H surge V,C2H sway V,C2H heave V,C2H roll V,C2H pitch V,C2H yaw V,C2H surge A,C2H  sway A,C2H heave A,C2H roll A,C2H pitch A,C2H yaw A
819674433,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819674449,1000,4051,10,-0.409626007,-1.12E-15,-3.274049044,3.06E-16,-6.25E-16,6.25E-16,3.98E-16,1.10E-15,1.09E-05,2.42E-16,2.74E-16,-3.55E-16,-9.18E-15,5.25E-15,1.34E-06,6.61E-15,-2.48E-15,2.16E-15
819684432,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819684448,1000,4052,10,-0.409626007,-1.05E-15,-3.274048805,4.49E-16,-5.42E-16,4.69E-16,8.65E-17,1.14E-15,1.09E-05,3.72E-16,1.97E-16,-2.55E-16,-2.21E-14,4.83E-15,1.27E-06,1.01E-14,-5.35E-15,6.73E-15
819694430,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819694444,1000,4053,10,-0.409626007,-1.32E-15,-3.274048805,2.85E-16,-5.42E-16,5.21E-16,-2.31E-16,1.28E-15,1.09E-05,5.74E-16,1.10E-16,-1.71E-16,-3.06E-14,1.01E-14,1.20E-06,1.68E-14,-7.83E-15,8.62E-15
819704425,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819704438,1000,4054,10,-0.409626007,-1.26E-15,-3.274048567,2.85E-16,-5.42E-16,3.65E-16,-9.39E-17,1.16E-15,1.10E-05,5.79E-16,7.22E-17,-1.95E-16,-7.64E-15,-3.24E-16,1.13E-06,9.36E-15,-6.02E-15,2.79E-15
819714424,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819714440,1000,4055,10,-0.409626007,-1.42E-15,-3.274048567,3.45E-16,-6.47E-16,4.69E-16,3.02E-16,9.77E-16,1.10E-05,4.48E-16,1.04E-16,-2.95E-16,2.37E-14,-1.42E-14,1.07E-06,-5.56E-15,-6.05E-16,-5.34E-15
819724432,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819724447,1000,4056,10,-0.409626007,-1.06E-15,-3.274048328,3.06E-16,-6.25E-16,4.69E-16,7.35E-16,9.70E-16,1.10E-05,3.53E-16,1.79E-16,-4.43E-16,3.74E-14,-7.07E-15,1.01E-06,-9.15E-15,4.78E-15,-1.15E-14
819734426,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819734441,1000,4057,10,-0.409626007,-1.16E-15,-3.274048328,3.67E-16,-6.84E-16,4.17E-16,1.23E-15,8.76E-16,1.10E-05,2.49E-16,2.33E-16,-5.94E-16,4.60E-14,-6.96E-15,9.51E-07,-1.03E-14,5.95E-15,-1.45E-14
819744435,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819744451,1000,4058,10,-0.409626007,-1.59E-15,-3.274048328,2.63E-16,-6.25E-16,5.73E-16,1.57E-15,8.58E-16,1.10E-05,2.97E-16,2.16E-16,-7.08E-16,4.05E-14,-5.65E-15,8.94E-07,-2.71E-15,1.67E-15,-1.28E-14
819754432,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819754446,1000,4059,10,-0.409626007,-1.42E-15,-3.27404809,3.45E-16,-6.02E-16,4.69E-16,1.79E-15,1.12E-15,1.10E-05,5.43E-16,1.76E-16,-8.31E-16,2.94E-14,1.24E-14,8.39E-07,1.41E-14,-2.31E-15,-1.24E-14
819764430,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819764445,1000,4060,10,-0.409626007,-1.22E-15,-3.27404809,3.67E-16,-6.84E-16,5.73E-16,1.78E-15,1.48E-15,1.10E-05,7.59E-16,1.81E-16,-8.98E-16,1.14E-14,2.86E-14,7.87E-07,2.09E-14,-1.39E-15,-9.43E-15
